Seq,SOURCEID,RAdeg,DEdeg,e_Pos,RA,DEC,YAPERMAG3,J_1APERMAG3,HAPERMAG3,KAPERMAG3
2991,433832815434,16.803,0.063,1.7,16.802913118744623,0.06346817525389416,19.576778411865234,19.1699275970459,18.43380355834961,17.595531463623047
3000,433829159494,16.831,0.362,3.7,16.830600185646663,0.3625443224746383,20.181278228759766,,,18.195241928100586
3003,433836351567,16.837,-0.551,2.2,16.837278005189678,-0.5507895021222365,13.102822303771973,9.822975158691406,10.956759452819824,10.153250694274902
3007,433836444564,16.851,-0.584,4.1,16.850471169903926,-0.5853088209879465,18.99346351623535,18.671127319335938,17.7955322265625,17.02728843688965
3012,433832816037,16.868,-0.129,3.3,16.86792009340852,-0.12869798982310715,,,,17.856895446777344
3013,433832815431,16.875,0.066,3.0,16.875084961577492,0.06582505045404562,18.956405639648438,18.57431411743164,18.1505069732666,17.39794158935547
3019,433829159656,16.893,0.421,2.2,16.89232610222827,0.42209818693009354,19.6820068359375,19.46910858154297,18.598873138427734,17.97566795349121
3021,433836351732,16.896,-0.453,1.8,16.896708623277547,-0.45317001093994863,17.078432083129883,16.431238174438477,15.670247077941895,14.97393798828125
3023,433829159675,16.898,0.429,2.4,16.896836801471494,0.430436783718316,19.691478729248047,19.238723754882812,,17.653423309326172
3029,433836351772,16.908,-0.379,4.4,16.90873748800792,-0.37888688564076956,17.81789779663086,17.10875129699707,16.428468704223633,15.66724681854248
3031,433829159706,16.91,0.328,5.6,16.90970807102874,0.3282733707237762,18.67189598083496,18.10346221923828,17.320528030395508,16.554161071777344
3032,433832815440,16.913,0.06,2.0,16.91310653197592,0.05999472542479567,18.13866424560547,17.885866165161133,17.684505462646484,17.357995986938477
3034,433829159716,16.916,0.406,2.9,16.91585512198639,0.40641678831043127,18.97875213623047,18.782489776611328,18.014137268066406,17.244640350341797
3036,433829159787,16.942,0.312,2.3,16.94249610345188,0.3118133651998522,20.181705474853516,,,
3044,433836351939,16.982,-0.416,4.9,16.982320681187318,-0.4163749256795504,15.739203453063965,15.197118759155273,14.53627872467041,14.1420259475708
3052,433830832481,17.016,0.112,2.6,17.01693438444663,0.11226172271129313,,,,18.008577346801758
3053,433830831917,17.025,0.161,3.1,17.02538696736307,0.1621383677550228,18.80559730529785,18.289447784423828,17.666343688964844,16.82979965209961
